ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
MUSE_Volume_4,4,SINGLE,3rd Ventricle,636.8,B,VN,VENTRICLE,VENTRICLE,VENTRICLE,0
MUSE_Volume_11,11,SINGLE,4th Ventricle,1959.6,B,VN,VENTRICLE,VENTRICLE,VENTRICLE,0
MUSE_Volume_23,23,SINGLE,Right Accumbens Area,526,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,3
MUSE_Volume_30,30,SINGLE,Left Accumbens Area,585.9,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,3
MUSE_Volume_31,31,SINGLE,Right Amygdala,1021.3,R,GM,DEEP_WM_GM,Right Amygdala,Right Amygdala,11
MUSE_Volume_32,32,SINGLE,Left Amygdala,993.7,L,GM,DEEP_WM_GM,Left Amygdala,Left Amygdala,11
MUSE_Volume_35,35,SINGLE,Brain Stem,18491.6,B,NONE,NONE,NONE,NONE,0
MUSE_Volume_36,36,SINGLE,Right Caudate,3651.5,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,4
MUSE_Volume_37,37,SINGLE,Left Caudate,3578.9,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,4
MUSE_Volume_38,38,SINGLE,Right Cerebellum Exterior,54379.4,R,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,1
MUSE_Volume_39,39,SINGLE,Left Cerebellum Exterior,54582.6,L,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,1
MUSE_Volume_40,40,SINGLE,Right Cerebellum White Matter,15458.7,R,WM,CEREBELLUM,CEREBELLUM,CEREBELLUM,2
MUSE_Volume_41,41,SINGLE,Left Cerebellum White Matter,15500.7,L,WM,CEREBELLUM,CEREBELLUM,CEREBELLUM,2
MUSE_Volume_46,46,SINGLE,CSF,1011.6,B,CSF,NONE,NONE,NONE,0
MUSE_Volume_47,47,SINGLE,Right Hippocampus,3704.7,R,GM,DEEP_WM_GM,Right Hippocampus,Right Hippocampus,13
MUSE_Volume_48,48,SINGLE,Left Hippocampus,3597.7,L,GM,DEEP_WM_GM,Left Hippocampus,Left Hippocampus,13
MUSE_Volume_49,49,SINGLE,Right Inf Lat Vent,352.9,R,VN,VENTRICLE,VENTRICLE,VENTRICLE,67
MUSE_Volume_50,50,SINGLE,Left Inf Lat Vent,304.9,L,VN,VENTRICLE,VENTRICLE,VENTRICLE,67
MUSE_Volume_51,51,SINGLE,Right Lateral Ventricle,6629.5,R,VN,VENTRICLE,VENTRICLE,VENTRICLE,68
MUSE_Volume_52,52,SINGLE,Left Lateral Ventricle,7954.9,L,VN,VENTRICLE,VENTRICLE,VENTRICLE,68
MUSE_Volume_55,55,SINGLE,Right Pallidum,1638.8,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,5
MUSE_Volume_56,56,SINGLE,Left Pallidum,1597.6,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,5
MUSE_Volume_57,57,SINGLE,Right Putamen,4726,R,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,6
MUSE_Volume_58,58,SINGLE,Left Putamen,4942.3,L,GM,DEEP_WM_GM,BASAL_GANGLIA,BASAL_GANGLIA,6
MUSE_Volume_59,59,SINGLE,Right Thalamus Proper,8256.3,R,GM,DEEP_WM_GM,DEEP_GM,DEEP_GM,7
MUSE_Volume_60,60,SINGLE,Left Thalamus Proper,8574.1,L,GM,DEEP_WM_GM,DEEP_GM,DEEP_GM,7
MUSE_Volume_61,61,SINGLE,Right Ventral DC,4998.9,R,NONE,NONE,NONE,NONE,69
MUSE_Volume_62,62,SINGLE,Left Ventral DC,5192.8,L,NONE,NONE,NONE,NONE,69
MUSE_Volume_63,63,SINGLE,Right vessel,33.3,R,NONE,NONE,NONE,NONE,70
MUSE_Volume_64,64,SINGLE,Left vessel,36.5,L,NONE,NONE,NONE,NONE,70
MUSE_Volume_71,71,SINGLE,Cerebellar Vermal Lobules I-V,4899.8,B,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,0
MUSE_Volume_72,72,SINGLE,Cerebellar Vermal Lobules VI-VII,2266.9,B,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,0
MUSE_Volume_73,73,SINGLE,Cerebellar Vermal Lobules VIII-X,2858.8,B,GM,CEREBELLUM,CEREBELLUM,CEREBELLUM,0
MUSE_Volume_75,75,SINGLE,Left Basal Forebrain,586.5,L,GM,DEEP_WM_GM,Left Basal Forebrain,Left Basal Forebrain,12
MUSE_Volume_76,76,SINGLE,Right Basal Forebrain,593.1,R,GM,DEEP_WM_GM,Right Basal Forebrain,Right Basal Forebrain,12
MUSE_Volume_81,81,SINGLE,frontal lobe WM right,95088,R,WM,FRONTAL,FRONTAL_WM,FRONTAL_WM,36
MUSE_Volume_82,82,SINGLE,frontal lobe WM left,91872,L,WM,FRONTAL,FRONTAL_WM,FRONTAL_WM,36
MUSE_Volume_83,83,SINGLE,occipital lobe WM right,22798.8,R,WM,OCCIPITAL,OCCIPITAL_WM,OCCIPITAL_WM,50
MUSE_Volume_84,84,SINGLE,occipital lobe WM left,22741.6,L,WM,OCCIPITAL,OCCIPITAL_WM,OCCIPITAL_WM,50
MUSE_Volume_85,85,SINGLE,parietal lobe WM right,44216.6,R,WM,PARIETAL,PARIETAL_WM,PARIETAL_WM,57
MUSE_Volume_86,86,SINGLE,parietal lobe WM left,47236.9,L,WM,PARIETAL,PARIETAL_WM,PARIETAL_WM,57
MUSE_Volume_87,87,SINGLE,temporal lobe WM right,55390.7,R,WM,TEMPORAL,TEMPORAL_WM,TEMPORAL_WM,66
MUSE_Volume_88,88,SINGLE,temporal lobe WM left,54535.2,L,WM,TEMPORAL,TEMPORAL_WM,TEMPORAL_WM,66
MUSE_Volume_89,89,SINGLE,fornix right,517.5,R,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,9
MUSE_Volume_90,90,SINGLE,fornix left,673.6,L,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,9
MUSE_Volume_91,91,SINGLE,anterior limb of internal capsule right,3393.3,R,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,8
MUSE_Volume_92,92,SINGLE,anterior limb of internal capsule left,2887.7,L,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,8
